Position,Mean Velocity 00,Mean Velocity 05,Mean Velocity 15
-40,9.942694245638402,9.789613564827556,11.438849732740316
-36,9.91456026706017,9.781027979737114,11.756849723435089
-32,9.888665900472029,9.78332345742926,11.904175137149156
-28,9.865122548803383,9.768287988869483,11.576092467754435
-24,9.801674325127763,9.748669546925878,8.932245414817015
-20,9.791664427221834,9.746382126647246,5.446401207483035
-16,9.752417267041457,9.669288932888074,4.973961492267325
-12,9.713391103175478,6.792063990880752,4.6364893740885815
-8,9.333766533963187,8.936226201295142,4.536520556261232
-4,8.571850233703175,9.823460404298459,3.953290414687045
0,9.366954864328449,9.867071225369022,3.63814437006323
4,9.732928032420027,9.916728823108263,3.7317551826484885
8,9.776937283450703,9.94724443654312,4.609761535806298
12,9.802306715428529,10.003248382298395,6.426705980157463
16,9.845751592594045,10.030401495782165,8.274920771560856
20,9.863392649696216,10.047212909663255,10.513206220261385
24,9.902308845115778,10.07933079940091,11.519468593685186
28,9.934214712022813,10.097099044359748,11.894560198853318
32,9.956279269437902,10.133252009235335,11.895555728830479
36,9.98703202151127,10.154121107433713,11.775755777215723
40,9.983710700774637,10.183117603866332,11.62826259721759
